|Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
4171||||||||1|03/05/2021|Vente|150000.0|50.0||CHE|0050|DE LA CHASSIERE|1250|REVONNAS|1|321||B|132||||||||||||0|1.0|Maison||86.0|2.0|S||120.0
4172||||||||1|26/04/2021|Vente|420000.0||||B063|LA GAGEURE|1190|CHEVROUX|1|102||A|703||||||||||||0||||||BT||1634.0
4173||||||||1|26/04/2021|Vente|420000.0|663.0||RTE|0197|DE PONT DE VAUX|1190|CHEVROUX|1|102||A|1058||||||||||||0|4.0|Local industriel. commercial ou assimilé||499.0|0.0|S||2246.0
4174||||||||1|03/05/2021|Vente|180000.0|68.0||PL|0080|LAURENT FERRAND|1160|PRIAY|1|314||E|674||||||||||||0|1.0|Maison||78.0|5.0|S||100.0
4175||||||||1|03/05/2021|Vente|180000.0|68.0||PL|0080|LAURENT FERRAND|1160|PRIAY|1|314||E|674||||||||||||0|4.0|Local industriel. commercial ou assimilé||47.0|0.0|S||100.0
4176||||||||1|30/04/2021|Vente|250000.0|7.0||ALL|0028|DES BRUYERES|1440|VIRIAT|1|451||AT|77||||||||||||0|1.0|Maison||118.0|4.0|S||846.0
4177||||||||1|31/03/2021|Vente|156000.0|41.0||RUE|1650|GEN DELESTRAINT|1000|BOURG-EN-BRESSE|1|53||AN|2||108.0||||||||||1|3.0|Dépendance||0.0|0.0|||
4178||||||||1|31/03/2021|Vente|156000.0|41.0||RUE|1650|GEN DELESTRAINT|1000|BOURG-EN-BRESSE|1|53||AN|2||101.0|83.88|105.0||||||||2|2.0|Appartement||85.0|3.0|||
4179||||||||1|31/03/2021|Vente|156000.0|41.0||RUE|1650|GEN DELESTRAINT|1000|BOURG-EN-BRESSE|1|53||AN|2||101.0|83.88|105.0||||||||2|3.0|Dépendance||0.0|0.0|||
4180||||||||1|29/04/2021|Vente|96000.0|12.0|A|RUE|0044|DU JOUVANCY|1290|PONT-DE-VEYLE|1|306||A|999||13.0|91.13|21.0||||||||2|2.0|Appartement||91.0|4.0|||
4181||||||||1|29/04/2021|Vente|96000.0|12.0|A|RUE|0044|DU JOUVANCY|1290|PONT-DE-VEYLE|1|306||A|999||13.0|91.13|21.0||||||||2|3.0|Dépendance||0.0|0.0|||
4182||||||||1|29/04/2021|Vente|96000.0|5270.0|||B006|GRAND FAUBOURG|1290|PONT-DE-VEYLE|1|306||A|1292||13.0||||||||||1|3.0|Dépendance||0.0|0.0|||
4183||||||||1|11/05/2021|Vente|105000.0|50.0||RUE|1240|DOC NODET|1000|BOURG-EN-BRESSE|1|53||AL|3||15.0||39.0|67.64|||||||2|2.0|Appartement||68.0|1.0|||
4184||||||||1|11/05/2021|Vente|105000.0|50.0||RUE|1240|DOC NODET|1000|BOURG-EN-BRESSE|1|53||AL|3||15.0||39.0|67.64|||||||2|3.0|Dépendance||0.0|0.0|||
